Grupo,Codigo,Time
A,mx,México
A,za,África do Sul
A,kr,Coreia do Sul
A,cz,República Tcheca
B,ca,Canadá
B,ba,Bósnia e Herzegovina
B,qa,Catar
B,ch,Suíça
C,br,Brasil
C,ma,Marrocos
C,ht,Haiti
C,gb-sct,Escócia
D,us,Estados Unidos
D,py,Paraguai
D,au,Austrália
D,tr,Turquia
E,de,Alemanha
E,cw,Curaçao
E,ci,Costa do Marfim
E,ec,Equador
F,nl,Holanda
F,jp,Japão
F,se,Suécia
F,tn,Tunísia
G,be,Bélgica
G,eg,Egito
G,ir,Irã
G,nz,Nova Zelândia
H,es,Espanha
H,cv,Cabo Verde
H,sa,Arábia Saudita
H,uy,Uruguai
I,fr,França
I,sn,Senegal
I,iq,Iraque
I,no,Noruega
J,ar,Argentina
J,dz,Argélia
J,at,Áustria
J,jo,Jordânia
K,pt,Portugal
K,cd,RD Congo
K,uz,Uzbequistão
K,co,Colômbia
L,gb-eng,Inglaterra
L,hr,Croácia
L,gh,Gana
L,pa,Panamá
